,Names,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Abilities,Creators
10,Aa,0,0,0,0,0,0,0,,DC Comics
11,Aagog,0,0,0,0,0,0,0,,DC Comics
12,Aaron Cash,0,0,0,0,0,0,0,,DC Comics
13,Ab-Death,0,0,0,0,0,0,0,,DC Comics
14,Abaddon,0,0,0,0,0,0,0,,DC Comics
15,Abattoir,0,0,0,0,0,0,0,,DC Comics
16,Abby,1,1,7,15,25,1,0,"['Magic', 'Eagle Fang Karate']",DC Comics
17,Abby Holland,0,0,0,0,0,0,0,,DC Comics
18,Abel,0,0,0,0,0,0,0,,DC Comics
19,Abel,0,0,0,0,0,0,0,,DC Comics
20,Abel Cuvier,80,35,25,25,55,50,20,"['Acrobatics', 'Agility', 'Animal Attributes', 'Durability', 'Endurance', 'Enhanced Senses', 'Enhanced Sight', 'Enhanced Smell', 'Intelligence', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Enhanced Hearing', 'Enhanced Memory', 'Fire Resistance', 'Longevity', 'Animal Oriented Powers']",DC Comics
21,Abnegazar,0,0,0,0,0,0,0,,DC Comics
22,Abra Kadabra,0,0,0,0,0,0,0,,DC Comics
23,Abra Kadabra,0,0,0,0,0,0,0,,DC Comics
24,Abra Kadabra,0,0,0,0,0,0,0,,DC Comics
25,Abra Kadabra,0,0,0,0,0,0,0,,DC Comics
26,Absence,0,0,0,0,0,0,0,,DC Comics
27,Abysmus,0,0,0,0,0,0,0,,DC Comics
28,Abyss,0,0,0,0,0,0,0,,DC Comics
29,Abyssma,0,0,0,0,0,0,0,,DC Comics
30,Accomplished Perfect Physician,0,0,0,0,0,0,0,,DC Comics
31,Ace,55,25,25,5,60,20,20,"['Illusions', 'Mind Control', 'Telekinesis', 'Telepathy', 'Mind Control Resistance', 'Power Bestowal', 'Psionic Powers', 'Reality Warping']",DC Comics
32,Ace Arn,75,35,50,40,65,40,50,"['Agility', 'Electrokinesis', 'Endurance', 'Flight', 'Intelligence', 'Magnetism', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Cosmic Awareness', 'Interstellar Travel', 'Godly Physiology', 'Invulnerability']",DC Comics
33,Ace Morgan,0,0,0,0,0,0,0,,DC Comics
34,Ace of Spades,0,0,0,0,0,0,0,,DC Comics
35,Ace The Bat-Hound,50,6,8,11,35,20,10,"['Peak Human Condition', 'Lantern Power Ring', 'Marksmanship', 'Qwardian Power Ring', 'Swordsmanship']",DC Comics
36,Ace The Bat-Hound,45,1,10,7,5,35,10,"['Acrobatics', 'Agility', 'Animal Attributes', 'Animal Oriented Powers', 'Enhanced Senses', 'Intelligence', 'Stamina', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Stealth']",DC Comics
37,Achilles Warkiller,0,0,0,0,0,0,0,,DC Comics
38,Acidia,0,0,0,0,0,0,0,,DC Comics
39,Acrata,0,0,0,0,0,0,0,,DC Comics
40,Adam Atom,80,1,8,15,60,1,10,"['Elasticity', 'Transformation', 'Large Size', 'Size Changing']",DC Comics
41,Adam I,0,0,0,0,0,0,0,,DC Comics
42,Adam Knight,50,1,5,15,5,25,10,"['Durability', 'Agility', 'Resurrection', 'Zombie Physiology']",DC Comics
43,Adam Strange,85,1,25,20,25,85,10,"['Durability', 'Intelligence', 'Peak Human Condition', 'Stamina', 'Weapon-based Powers', 'Weapons Master', 'Agility', 'Cold Resistance', 'Endurance', 'Enhanced Memory', 'Fire Resistance', 'Flight', 'Hacking', 'Heat Resistance', 'Intuitive aptitude', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Mechanical Aptitude', 'Power Suit', 'Reflexes', 'Stealth', 'Teleportation']",DC Comics
44,Adam Strange,70,25,55,20,30,35,30,"['Durability', 'Energy Beams', 'Flight', 'Spaceflight', 'Stamina', 'Endurance', 'Energy Blasts', 'Interstellar Travel', 'Power Suit']",DC Comics
45,Adam Strange,0,0,0,0,0,0,0,,DC Comics
46,Adam Strange,0,0,0,0,0,0,0,,DC Comics
47,Adam Strange,0,0,0,0,0,0,0,,DC Comics
48,Adara,0,0,0,0,0,0,0,,DC Comics
49,Adara,0,0,0,0,0,0,0,,DC Comics
50,Adeline Wilson,0,0,0,0,0,0,0,,DC Comics
51,Adellca,0,0,0,0,0,0,0,,DC Comics
52,Adept,0,0,0,0,0,0,0,,DC Comics
53,Adjudicator,100,100,100,100,100,40,90,['Nigh-Omnipotence'],DC Comics
54,Adolf Hitler,0,0,0,0,0,0,0,,DC Comics
55,Adolf Hitler II,0,0,0,0,0,0,0,,DC Comics
56,Adolf Hitler III,0,0,0,0,0,0,0,,DC Comics
57,Adonis,0,0,0,0,0,0,0,,DC Comics
58,Adonis,0,0,0,0,0,0,0,,DC Comics
59,Adrianna Tereshkova,0,0,0,0,0,0,0,,DC Comics
60,Aegeus,0,0,0,0,0,0,0,,DC Comics
61,Aegle,0,0,0,0,0,0,0,,DC Comics
62,Aeronaut,0,0,0,0,0,0,0,,DC Comics
63,Aethyr,0,0,0,0,0,0,0,,DC Comics
64,Afterthought,0,0,0,0,0,0,0,,DC Comics
65,Agatha,0,0,0,0,0,0,0,,DC Comics
66,Agent !,0,0,0,0,0,0,0,,DC Comics
67,Agent 355,60,1,6,10,0,70,0,"['Intelligence', 'Peak Human Condition', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Weapons Master', 'Endurance']",DC Comics
68,Agent 37,80,5,20,9,14,95,10,"['Acrobatics', 'Agility', 'Dexterity', 'Durability', 'Endurance', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Weapon-based Powers', 'Weapons Master', 'Danger Sense', 'Grappling/Climbing', 'Indomitable Will', 'Information Analysis', 'Invisibility', 'Master Tactician', 'Hacking']",DC Comics
69,Agent 711,60,1,6,10,0,70,0,"['Intelligence', 'Peak Human Condition', 'Stamina', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Weapons Master', 'Endurance']",DC Comics
70,Agent Dale Gunn,0,0,0,0,0,0,0,,DC Comics
71,Agent Graves,0,0,0,0,0,0,0,,DC Comics
72,Agent Lance,0,0,0,0,0,0,0,,DC Comics
73,Agent Liberty,0,0,0,0,0,0,0,,DC Comics
74,Agent Of Source Wall,100,100,100,100,100,100,90,['Nigh-Omnipotence'],DC Comics
75,Agent Orange,0,0,0,0,0,0,0,,DC Comics
76,Agony,0,0,0,0,0,0,0,,DC Comics
77,Ahriman,0,0,0,0,0,0,0,,DC Comics
78,Ahtier,0,0,0,0,0,0,0,,DC Comics
79,Ahura-Mazda,0,0,0,0,0,0,0,,DC Comics
80,AI-X,0,0,0,0,0,0,0,,DC Comics
81,AI-X,0,0,0,0,0,0,0,,DC Comics
82,Air Wave I,0,0,0,0,0,0,0,,DC Comics
83,Air Wave II,70,25,80,25,65,30,20,"['Durability', 'Enhanced Senses', 'Super Speed', 'Dimensional Travel', 'Electrical Transport', 'Electro-Magnetism Manipulation', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Enhanced Hearing', 'Flight', 'Self-Sustenance', 'Transformation', 'Telepathy']",DC Comics
84,Airam Sappal,0,0,0,0,0,0,0,,DC Comics
85,Ajita,0,0,0,0,0,0,0,,DC Comics
86,Akando,0,0,0,0,0,0,0,,DC Comics
87,Akila,0,0,0,0,0,0,0,,DC Comics
88,Al Jabr,0,0,0,0,0,0,0,,DC Comics
89,Al-Owal,0,0,0,0,0,0,0,,DC Comics
90,Alanna Strange,0,0,0,0,0,0,0,,DC Comics
91,Alanna Strange,0,0,0,0,0,0,0,,DC Comics
92,Alastor,0,0,0,0,0,0,0,,DC Comics
93,Alberto Falcone,0,0,0,0,0,0,0,,DC Comics
94,Aldar,60,95,25,65,75,55,40,"['Cold Resistance', 'Durability', 'Endurance', 'Enhanced Senses', 'Fire Resistance', 'Invulnerability', 'Reflexes', 'Stamina', 'Super Strength', 'Accelerated Healing', 'Agility', 'Bloodlust', 'Bone Manipulation', 'Enhanced Smell', 'Enhanced Touch', 'Indomitable Will', 'Instinctive Reaction', 'Jump', 'Regeneration', 'Immortality']",DC Comics
95,Aldo,0,0,0,0,0,0,0,,DC Comics
96,Alea,60,25,11,20,30,75,10,"['Durability', 'Endurance', 'Stamina', 'Super Speed', 'Super Strength', 'Absorption', 'Electricity Resistance', 'Energy Absorption', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Reflexes', 'Stealth', 'Weapons Master']",DC Comics
97,Alex Danvers,0,0,0,0,0,0,0,,DC Comics
98,Alexandra Luthor,0,0,0,0,0,0,0,,DC Comics
99,Alexis Luthor,0,0,0,0,0,0,0,,DC Comics
100,Alfred,65,1,1,5,1,20,0,['Intelligence'],DC Comics
101,Alfred,0,0,0,0,0,0,0,,DC Comics
102,Alfred (2022),0,0,0,0,0,0,0,,DC Comics
103,Alfred Pennyworth,65,1,6,8,8,50,0,"['Stamina', 'Agility', 'Intangibility', 'Stealth', 'Marksmanship', 'Master Martial Artist']",DC Comics
104,Alfred Pennyworth,70,5,5,5,5,35,10,['Intelligence'],DC Comics
105,Alfred Pennyworth,60,1,1,5,10,20,0,"['Disguise Mastery', 'Swordsmanship', 'Vehicular Mastery', 'Marksmanship', 'Weapons Master']",DC Comics
106,Alfred Pennyworth,0,0,0,0,0,0,0,,DC Comics
107,Alfred Pennyworth,0,0,0,0,0,0,0,,DC Comics
108,Alfred Pennyworth,75,25,7,13,1,19,0,['Mechanical Aptitude'],DC Comics
109,Alfred Pennyworth,0,0,0,0,0,0,0,,DC Comics
110,Alfred Protocol,0,0,0,0,0,0,0,,DC Comics
111,Alfrood,0,0,0,0,0,0,0,,DC Comics
112,Algorithm,0,0,0,0,0,0,0,,DC Comics
113,Alia,0,0,0,0,0,0,0,,DC Comics
114,Aliana Hubbard,0,0,0,0,0,0,0,,DC Comics
115,Alias The Blur,0,0,0,0,0,0,0,,DC Comics
116,Alias The Spider,0,0,0,0,0,0,0,,DC Comics
117,Alice,75,1,1,10,10,70,10,"['Insanity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Weapons Master', 'Swordsmanship']",DC Comics
118,Alice,0,0,0,0,0,0,0,,DC Comics
119,Alicia Baker,80,1,85,10,30,25,20,"['Endurance', 'Intelligence', 'Peak Human Condition', 'Reflexes', 'Stealth', 'Teleportation', 'Agility', 'Insanity', 'Phasing', 'Preparation']",DC Comics
120,Alisand'r,0,0,0,0,0,0,0,,DC Comics
121,Alison Mann,0,0,0,0,0,0,0,,DC Comics
122,Alitha,0,0,0,0,0,0,0,,DC Comics
123,Alkyone,0,0,0,0,0,0,0,,DC Comics
124,All-American Boy,0,0,0,0,0,0,0,,DC Comics
125,All-Star,0,0,0,0,0,0,0,"['Energy Manipulation', 'Flight']",DC Comics
126,All-Widow,0,0,0,0,0,0,0,,DC Comics
127,Allan A. Dale,0,0,0,0,0,0,0,,DC Comics
128,Allegra Garcia,60,1,7,10,50,65,10,"['Energy Blasts', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Stamina', 'Vision - Heat', 'Vision - Infrared', 'Vision - Thermal', 'Vision - X-Ray', 'Endurance', 'Energy Manipulation', 'Enhanced Condition', 'Enhanced Senses', 'Stealth', 'Weapons Master']",DC Comics
129,Allegra Garcia,0,0,0,0,0,0,0,,DC Comics
130,Alley-Kat-Abra,0,0,0,0,0,0,0,,DC Comics
131,Allfather D'Aronique,0,0,0,0,0,0,0,,DC Comics
132,Alloy,0,0,0,0,0,0,0,,DC Comics
133,Allura,0,0,0,0,0,0,0,,DC Comics
134,Allura In-Ze,85,100,95,85,95,60,60,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Enhanced Sight', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Intelligence', 'Jump', 'Longevity', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Vision - Heat', 'Absorption', 'Acrobatics', 'Agility', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Senses', 'Heat Generation', 'Indomitable Will', 'Interstellar Travel', 'Invulnerability', 'Marksmanship', 'Radiation Absorption', 'Regeneration', 'Self-Sustenance', 'Stealth', 'Toxin and Disease Resistance', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Vision - X-Ray', 'Master Tactician']",DC Comics
135,Ally Allston,0,0,0,0,0,0,0,,DC Comics
136,Alpha,55,1,1,5,5,80,10,"['Marksmanship', 'Master Martial Artist', 'Weapon-based Powers', 'Weapons Master', 'Insanity']",DC Comics
137,Alpha,100,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omniscience', 'Omnipresence']",DC Comics
138,Alpha Centurion,0,0,0,0,0,0,0,,DC Comics
139,Alpha Centurion,0,0,0,0,0,0,0,,DC Comics
140,Alpha Wolf,0,0,0,0,0,0,0,,DC Comics
141,Althea,0,0,0,0,0,0,0,,DC Comics
142,Altin Ad'Ms,0,0,0,0,0,0,0,,DC Comics
143,Alura,0,0,0,0,0,0,0,,DC Comics
144,Alura In-Ze,0,0,0,0,0,0,0,,DC Comics
145,Alura In-Ze,0,0,0,0,0,0,0,,DC Comics
146,Alysia Yeoh,0,0,0,0,0,0,0,,DC Comics
147,Amadan,0,0,0,0,0,0,0,,DC Comics
148,Amalgam,0,0,0,0,0,0,0,,DC Comics
149,Amanda Waller,70,1,11,6,6,45,10,"['Intelligence', 'Master Tactician', 'Stamina', 'Agility', 'Indomitable Will', 'Marksmanship', 'Reflexes', 'Stealth', 'Weapons Master', 'Master Martial Artist']",DC Comics
150,Amanda Waller,65,1,1,5,10,30,0,['Master Tactician'],DC Comics
151,Amanda Waller,70,5,1,5,5,25,10,"['Intelligence', 'Social Influencing', 'Weapon-based Powers']",DC Comics
152,Amanda Waller,0,0,0,0,0,0,0,,DC Comics
153,Amanda Waller,0,0,0,0,0,0,0,,DC Comics
154,Amanda Waller,0,0,0,0,0,0,0,,DC Comics
155,Amanita,0,0,0,0,0,0,0,,DC Comics
156,Amaxon Thunder,0,0,0,0,0,0,0,,DC Comics
157,Amaze,0,0,0,0,0,0,0,,DC Comics
158,Amazing Grace,0,0,0,0,0,0,0,,DC Comics
159,Amazing Man,0,0,0,0,0,0,0,,DC Comics
160,Amazing-Man,0,0,0,0,0,0,0,,DC Comics
161,Amazing-Man,0,0,0,0,0,0,0,,DC Comics
162,Amazing-Man,0,0,0,0,0,0,0,,DC Comics
163,Amazo (Anti-life),100,100,100,100,100,100,90,"['Nigh-Omnipotence', 'Nigh-Omnipresence', 'Nigh-Omniscience']",DC Comics
164,Ambrose Wolf,0,0,0,0,0,0,0,,DC Comics
165,Ambush Bug,80,25,80,100,90,70,40,"['Acrobatics', 'Cosmic Awareness', 'Insanity', 'Invulnerability', 'Probability Manipulation', 'Teleportation', 'Master Martial Artist']",DC Comics
166,Ambush Bug,0,0,0,0,0,0,0,,DC Comics
167,Amenadiel,100,100,100,100,100,100,90,"['Nigh-Omnipotence', 'Nigh-Omnipresence', 'Nigh-Omniscience']",DC Comics
168,Amenadiel,100,25,50,40,80,100,40,"['Accelerated Healing', 'Adaptation', 'Agility', 'Angel Physiology', 'Cold Resistance', 'Dimensional Travel', 'Divine Powers', 'Divinity', 'Durability', 'Enhanced Senses', 'Enhanced Sight', 'Fire Resistance', 'Flight', 'Heal', 'Immortality', 'Intelligence', 'Invulnerability', 'Levitation', 'Longevity', 'Master Martial Artist', 'Mind Control Resistance', 'Nigh-Omniscience', 'Possession Resistance', 'Pressure Points', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Resurrection', 'Stamina', 'Super Speed', 'Super Strength', 'Time Manipulation', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Will Of God', 'Wing Manifestation', 'Curse Manipulation', 'Dimensional Awareness', 'Endurance', 'Love Inducement', 'Shapeshifting', 'Soul Manipulation']",DC Comics
169,Amenadiel (Power Of God),100,100,100,100,100,100,70,"['Nigh-Omnipotence', 'Nigh-Omnipresence', 'Nigh-Omniscience']",DC Comics
170,American Alien,0,0,0,0,0,0,0,,DC Comics
171,American Crusader,0,0,0,0,0,0,0,,DC Comics
172,American Eagle,0,0,0,0,0,0,0,,DC Comics
173,Amethyst,70,25,55,50,90,70,50,"['Agility', 'Clairvoyance', 'Crystal Touch', 'Dexterity', 'Dimensional Awareness', 'Dimensional Travel', 'Element Control', 'Emotional Power Up', 'Energy Armor', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Force Fields', 'Intelligence', 'Longevity', 'Magic', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Swordsmanship', 'Teleportation', 'Accelerated Healing', 'Acrobatics', 'Clairvoyance Resistance', 'Cold Resistance', 'Divine Powers', 'Empathy', 'Endurance', 'Energy Absorption', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Senses', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Flight', 'Heat Generation', 'Heat Resistance', 'Magic Resistance', 'Master Tactician', 'Molecular Manipulation', 'Omnilingualism', 'Plant Control', 'Stealth', 'Terrakinesis', 'Toxin and Disease Resistance', 'Vitakinesis', 'Weapon Creation', 'Weapons Master']",DC Comics
174,Amethyst,80,40,80,55,60,75,40,"['Blood Manipulation', 'Clairvoyance', 'Clairvoyance Resistance', 'Crystal Touch', 'Dexterity', 'Dimensional Travel', 'Endurance', 'Energy Absorption', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Senses', 'Enhanced Sight', 'Force Fields', 'Heat Generation', 'Heat Resistance', 'Light Control', 'Master Tactician', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Swordsmanship', 'Terrakinesis', 'Weapons Master', 'Accelerated Healing', 'Acid Resistants', 'Afterimage Creation', 'Agility', 'Bloodlust', 'Cold Resistance', 'Empathy', 'Fire Resistance', 'Master Martial Artist', 'Omnilingualism', 'Regeneration', 'Toxin and Disease Resistance']",DC Comics
175,Ameyra Khalan,0,0,0,0,0,0,0,,DC Comics
176,Amnee Pree,0,0,0,0,0,0,0,,DC Comics
177,Amoeba Man,0,0,0,0,0,0,0,,DC Comics
178,Amon Sur,0,0,0,0,0,0,0,,DC Comics
179,Ampa Nnn,0,0,0,0,0,0,0,,DC Comics
180,Ampersand,40,1,8,10,0,10,0,"['Animal Attributes', 'Acrobatics', 'Agility']",DC Comics
181,Amun Sur,0,0,0,0,0,0,0,,DC Comics
182,Amygdala,0,0,0,0,0,0,0,,DC Comics
183,Amygdala,0,0,0,0,0,0,0,,DC Comics
184,Anahid,0,0,0,0,0,0,0,,DC Comics
185,Anann,0,0,0,0,0,0,0,,DC Comics
186,Anarky,0,0,0,0,0,0,0,,DC Comics
187,Anarky,0,0,0,0,0,0,0,,DC Comics
188,Anarky,0,0,0,0,0,0,0,,DC Comics
189,Anarky,0,0,0,0,0,0,0,,DC Comics
190,Anatol Mykros,0,0,0,0,0,0,0,,DC Comics
191,Anatoly Knyazev,0,0,0,0,0,0,0,,DC Comics
192,André LeBlanc,0,0,0,0,0,0,0,,DC Comics
193,André LeBlanc,0,0,0,0,0,0,0,,DC Comics
194,André LeBlanc,0,0,0,0,0,0,0,,DC Comics
195,Andrea Rojas,0,0,0,0,0,0,0,,DC Comics
196,Andrej Trojan,0,0,0,0,0,0,0,,DC Comics
197,Andromeda,0,0,0,0,0,0,0,,DC Comics
198,Andy Connors,50,5,5,8,5,20,10,,DC Comics
199,Andy Curry,0,0,0,0,0,0,0,,DC Comics
200,Andy Diggle,0,0,0,0,0,0,0,,DC Comics
201,Angel,0,0,0,0,0,0,0,,DC Comics
202,Angel Breaker,0,0,0,0,0,0,0,,DC Comics
203,Angela Dodson,0,0,0,0,0,0,0,,DC Comics
204,Angle Man,0,0,0,0,0,0,0,,DC Comics
205,Anima,0,0,0,0,0,0,0,,DC Comics
206,Animal Man,65,45,30,40,75,50,20,"['Accelerated Healing', 'Agility', 'Animal Attributes', 'Animal Oriented Powers', 'Durability', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Underwater breathing', 'Wallcrawling', 'Animal Control', 'Camouflage', 'Cold Resistance', 'Echolocation', 'Empathy', 'Endurance', 'Energy Blasts', 'Enhanced Hearing', 'Enhanced Senses', 'Enhanced Sight', 'Enhanced Smell', 'Flight', 'Illumination', 'Jump', 'Power Mimicry', 'Regeneration', 'Sub-Mariner', 'Transformation', 'Vision - Night', 'Vision - Telescopic', 'Electrokinesis', 'Possession', 'Shapeshifting', 'Toxin and Disease Control']",DC Comics
207,Animal Man,0,0,0,0,0,0,0,,DC Comics
208,Animal Man (BODY OF GOD),100,100,100,100,100,100,90,"['Nigh-Omnipotence', 'Omnipresence', 'Omniscience']",DC Comics
209,Animal Man,0,0,0,0,0,0,0,,DC Comics
210,Animal-Vegetable-Mineral Man,0,0,0,0,0,0,0,,DC Comics
211,Animal-Vegetable-Mineral Man,0,0,0,0,0,0,0,,DC Comics
212,Anna Fortune,0,0,0,0,0,0,0,,DC Comics
213,Anne Marie Flynn,0,0,0,0,0,0,0,,DC Comics
214,Annihilator,0,0,0,0,0,0,0,,DC Comics
215,Annihilator,0,0,0,0,0,0,0,,DC Comics
216,Anomaly,0,0,0,0,0,0,0,,DC Comics
217,Antagon,0,0,0,0,0,0,0,,DC Comics
218,Anthro,0,0,0,0,0,0,0,,DC Comics
219,Anti-Fate,0,0,0,0,0,0,0,,DC Comics
220,Anti-Lad,0,0,0,0,0,0,0,,DC Comics
221,Anti-Matter Man,100,100,100,100,100,25,80,['Nigh-Omnipotence'],DC Comics
