Name1,Name2,Name1_res,Draw,Name2_res,Names_x,Intelligence_x,Strength_x,Speed_x,Durability_x,Power_x,Combat_x,Names_y,Intelligence_y,Strength_y,Speed_y,Durability_y,Power_y,Combat_y
Robin V,Red Robin,17.0,1.9,81.1,Robin V,75.0,1.0,17.0,10.0,10.0,95.0,Red Robin,85.0,3.0,15.0,9.0,15.0,85.0
Darkhawk,Abomination,10.0,10.0,80.0,Darkhawk,60.0,75.0,75.0,30.0,50.0,70.0,Abomination,72.5,95.0,62.5,72.5,70.0,72.5
Ant-Man,Red Tornado,0.0,0.0,100.0,Ant-Man,78.33,28.67,19.33,20.0,31.67,56.67,Red Tornado,80.0,55.0,56.67,51.67,76.67,40.0
Hulk,Spider-Man,81.2,0.0,18.8,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26
Ant-Man,Multiple Man,60.0,20.0,20.0,Ant-Man,78.33,28.67,19.33,20.0,31.67,56.67,Multiple Man,60.0,5.0,13.0,15.0,35.0,75.0
Ant-Man,Black Canary,50.0,16.7,33.3,Ant-Man,78.33,28.67,19.33,20.0,31.67,56.67,Black Canary,65.0,4.0,11.12,11.62,33.12,80.0
Captain America,Rick Flag,83.3,16.7,0.0,Captain America,73.12,36.31,37.56,34.75,49.38,93.12,Rick Flag,60.0,3.0,11.5,10.0,10.0,70.0
Captain America,Punisher,90.0,0.0,10.0,Captain America,73.12,36.31,37.56,34.75,49.38,93.12,Punisher,62.5,8.0,14.5,12.5,16.0,77.5
Iron Man,Captain America,79.0,0.3,20.7,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
Cyborg Superman,Thor,16.3,0.0,83.7,Cyborg Superman,85.0,100.0,92.5,87.5,82.5,65.0,Thor,60.0,100.0,100.0,100.0,100.0,80.0
Cyborg Superman,Thor,16.3,0.0,83.7,Cyborg Superman,85.0,100.0,92.5,87.5,82.5,65.0,Thor,69.5,95.5,79.75,79.0,90.0,83.25
Superman,Thor,45.8,2.2,52.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Thor,60.0,100.0,100.0,100.0,100.0,80.0
Superman,Thor,45.8,2.2,52.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Thor,69.5,95.5,79.75,79.0,90.0,83.25
Iron Man,Batman,66.4,0.8,32.8,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54,Batman,82.33,17.62,21.84,18.4,24.6,92.56
Superman,Wonder Woman,72.2,0.8,27.1,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Wonder Woman,79.5,88.0,76.0,73.75,81.5,87.75
Hourman,Superman,25.0,0.0,75.0,Hourman,75.0,25.0,16.0,30.0,55.0,40.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Onslaught,Magneto,90.9,9.1,0.0,Onslaught,95.0,100.0,100.0,100.0,100.0,80.0,Magneto,80.0,82.5,47.5,65.0,85.0,60.0
Atlas,Annihilus,0.0,25.0,75.0,Atlas,60.0,100.0,50.0,100.0,100.0,75.0,Annihilus,65.0,100.0,100.0,75.0,85.0,80.0
Black Canary,Atom,20.0,20.0,60.0,Black Canary,65.0,4.0,11.12,11.62,33.12,80.0,Atom,86.67,26.67,19.0,25.0,50.0,41.67
Black Adam,Atom,100.0,0.0,0.0,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Atom,86.67,26.67,19.0,25.0,50.0,41.67
Black Adam,Batroc,66.7,33.3,0.0,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Batroc,65.0,20.0,25.0,15.0,15.0,95.0
Black Adam,Battlestar,100.0,0.0,0.0,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Battlestar,60.0,15.0,16.5,15.0,20.0,70.0
Batman,Red Hulk,22.7,0.0,77.3,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Red Hulk,85.0,100.0,100.0,100.0,100.0,75.0
Spider-Man,Green Goblin,89.4,0.0,10.6,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26,Green Goblin,80.0,25.0,22.5,25.0,30.0,57.5
A-Bomb,Abomination,40.0,3.8,56.3,A-Bomb,55.0,95.0,65.0,65.0,55.0,65.0,Abomination,72.5,95.0,62.5,72.5,70.0,72.5
Abraxas,Tyrant,60.0,20.0,20.0,Abraxas,100.0,100.0,100.0,100.0,100.0,70.0,Tyrant,85.0,100.0,100.0,100.0,100.0,60.0
Power Girl,Black Adam,28.1,3.1,68.8,Power Girl,77.5,86.25,71.25,80.0,86.25,57.5,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0
Deadpool,Wolverine,48.0,2.3,49.7,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Doctor Doom,Magneto,78.9,1.2,19.9,Doctor Doom,92.5,85.71,79.79,76.43,83.57,83.93,Magneto,80.0,82.5,47.5,65.0,85.0,60.0
Doctor Doom,Invisible Woman,89.5,0.0,10.5,Doctor Doom,92.5,85.71,79.79,76.43,83.57,83.93,Invisible Woman,77.5,25.5,19.5,50.0,67.5,47.5
Spider-Man,Booster Gold,23.1,0.0,76.9,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26,Booster Gold,73.33,41.67,60.0,55.0,65.0,51.67
Kid Flash,Aqualad,60.0,20.0,20.0,Kid Flash,67.14,11.57,85.0,30.71,81.43,48.57,Aqualad,58.75,17.5,25.0,18.75,51.25,36.25
Giganta,Wonder Woman,0.0,0.0,100.0,Giganta,62.5,62.5,22.5,42.5,37.5,27.5,Wonder Woman,79.5,88.0,76.0,73.75,81.5,87.75
Poison Ivy,Toxin,60.0,20.0,20.0,Poison Ivy,69.17,16.33,12.5,19.33,40.83,25.67,Toxin,65.0,45.0,35.0,51.67,71.67,71.67
Green Arrow,Captain America,11.5,1.0,87.5,Green Arrow,67.5,4.5,14.17,10.67,12.83,73.33,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
Thanos,Darkseid,31.9,1.0,67.1,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Darkseid,98.1,99.76,92.38,91.43,95.48,97.14
Spider-Man,Batman,68.1,0.6,31.3,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26,Batman,82.33,17.62,21.84,18.4,24.6,92.56
Hulk,Batman,81.5,0.0,18.5,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Batman,82.33,17.62,21.84,18.4,24.6,92.56
Omega Red,Wolverine,20.0,4.0,76.0,Omega Red,60.0,25.0,25.0,20.0,25.0,70.0,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Thanos,Wolverine,86.4,0.0,13.6,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Thanos,Apocalypse,84.0,0.6,15.5,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Apocalypse,88.12,81.88,32.38,65.0,91.25,58.75
Hulk,Magneto,85.3,2.9,11.8,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Magneto,80.0,82.5,47.5,65.0,85.0,60.0
Thanos,Onslaught,55.6,7.4,37.0,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Onslaught,95.0,100.0,100.0,100.0,100.0,80.0
Batman,Cyborg,67.6,0.0,32.4,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Cyborg,73.89,55.0,47.89,41.11,58.89,42.78
Galactus,Superman,81.3,0.0,18.7,Galactus,98.33,100.0,98.33,96.67,97.0,76.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Galactus,Silver Samurai,100.0,0.0,0.0,Galactus,98.33,100.0,98.33,96.67,97.0,76.0,Silver Samurai,45.0,25.0,25.0,20.0,30.0,80.0
Galactus,Silver Surfer,90.4,0.0,9.6,Galactus,98.33,100.0,98.33,96.67,97.0,76.0,Silver Surfer,89.0,89.5,100.0,87.0,95.5,70.0
Venom,Wolverine,56.6,2.8,40.6,Venom,62.14,30.0,21.43,25.71,52.14,75.0,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Green Arrow,Red Arrow,95.7,0.0,4.3,Green Arrow,67.5,4.5,14.17,10.67,12.83,73.33,Red Arrow,62.5,3.0,10.0,10.0,17.5,85.0
Batman,Red Arrow,100.0,0.0,0.0,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Red Arrow,62.5,3.0,10.0,10.0,17.5,85.0
Batman,Red Robin,94.7,0.0,5.3,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Red Robin,85.0,3.0,15.0,9.0,15.0,85.0
Hulk,Hulkling,88.9,0.0,11.1,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Hulkling,75.0,30.0,25.0,15.0,80.0,60.0
Abraxas,Apocalypse,80.0,0.0,20.0,Abraxas,100.0,100.0,100.0,100.0,100.0,70.0,Apocalypse,88.12,81.88,32.38,65.0,91.25,58.75
Green Arrow,Hawkeye,67.3,1.3,31.4,Green Arrow,67.5,4.5,14.17,10.67,12.83,73.33,Hawkeye,64.0,2.6,10.6,10.4,17.6,82.0
Bane,Medusa,33.3,33.3,33.3,Bane,67.78,26.78,21.33,13.22,22.78,70.0,Medusa,70.0,50.0,27.5,30.0,57.5,52.5
Bane,Medusa,33.3,33.3,33.3,Bane,67.78,26.78,21.33,13.22,22.78,70.0,Medusa,75.0,45.0,30.0,30.0,40.0,85.0
Spider-Man,Swarm,100.0,0.0,0.0,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26,Swarm,80.0,8.0,25.0,15.0,30.0,40.0
Black Adam,A-Bomb,100.0,0.0,0.0,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,A-Bomb,55.0,95.0,65.0,65.0,55.0,65.0
Black Adam,Black Bolt,78.9,5.3,15.8,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Black Bolt,65.0,57.5,47.5,57.5,82.5,82.5
Spider-Woman,Doctor Doom,0.0,0.0,100.0,Spider-Woman,66.67,35.0,17.67,24.0,56.67,75.0,Doctor Doom,92.5,85.71,79.79,76.43,83.57,83.93
Spider-Woman,Ms. Marvel,50.0,50.0,0.0,Spider-Woman,66.67,35.0,17.67,24.0,56.67,75.0,Ms. Marvel,58.0,48.0,39.4,34.4,62.0,48.0
Vision,Hyperion,40.0,13.3,46.7,Vision,89.17,67.5,53.33,58.33,74.17,69.17,Hyperion,83.75,100.0,91.25,88.75,87.5,81.25
Thanos,Hulk,82.5,1.0,16.5,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Hulk,65.83,91.39,62.83,78.89,85.56,68.06
Thanos,Red She-Hulk,83.3,0.0,16.7,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Red She-Hulk,70.0,100.0,75.0,100.0,80.0,70.0
Thanos,Galactus,12.4,0.2,87.3,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Galactus,98.33,100.0,98.33,96.67,97.0,76.0
Beast Boy,Black Panther,50.0,50.0,0.0,Beast Boy,59.29,20.86,22.43,17.14,42.86,35.0,Black Panther,88.33,50.0,49.44,50.22,51.67,97.78
Sentry,Supergirl,70.4,3.7,25.9,Sentry,83.75,100.0,100.0,100.0,100.0,65.0,Supergirl,66.0,97.5,93.5,74.5,83.5,57.0
Sentry,Superman,61.6,1.8,36.6,Sentry,83.75,100.0,100.0,100.0,100.0,65.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Superman,Human Torch,100.0,0.0,0.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Human Torch,65.0,8.0,35.0,36.67,56.67,48.33
Onslaught,Sentry,68.1,1.4,30.6,Onslaught,95.0,100.0,100.0,100.0,100.0,80.0,Sentry,83.75,100.0,100.0,100.0,100.0,65.0
Darkseid,Sentry,71.8,0.9,27.3,Darkseid,98.1,99.76,92.38,91.43,95.48,97.14,Sentry,83.75,100.0,100.0,100.0,100.0,65.0
Superman,Doctor Fate,11.8,0.8,87.4,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Doctor Fate,87.5,95.62,98.12,93.75,100.0,70.62
Magneto,Superman,14.3,0.0,85.7,Magneto,80.0,82.5,47.5,65.0,85.0,60.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Magneto,Professor X,82.8,1.7,15.5,Magneto,80.0,82.5,47.5,65.0,85.0,60.0,Professor X,80.0,1.0,1.0,3.67,75.0,8.67
Flash,Reverse Flash,31.0,2.4,66.7,Flash,74.52,24.33,98.1,47.24,83.33,57.1,Reverse Flash,93.33,31.67,100.0,56.67,90.0,81.67
Gladiator,Reverse Flash,50.0,12.5,37.5,Gladiator,62.5,100.0,100.0,100.0,82.5,65.0,Reverse Flash,93.33,31.67,100.0,56.67,90.0,81.67
Gladiator,Black Bolt,53.1,6.3,40.6,Gladiator,62.5,100.0,100.0,100.0,82.5,65.0,Black Bolt,65.0,57.5,47.5,57.5,82.5,82.5
Firestorm,Quicksilver,0.0,0.0,100.0,Firestorm,82.5,70.0,72.5,78.75,86.25,66.25,Quicksilver,67.0,40.0,73.0,35.4,63.0,53.0
Black Widow,Firestorm,0.0,33.3,66.7,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Firestorm,82.5,70.0,72.5,78.75,86.25,66.25
Cyclops,Aquaman,12.5,0.0,87.5,Cyclops,67.5,35.0,34.75,40.0,67.5,67.5,Aquaman,64.09,68.64,48.82,46.55,60.0,72.73
Deadpool,Superman,20.1,1.2,78.7,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Vulture,Juggernaut,25.0,25.0,50.0,Vulture,72.5,25.0,25.0,25.0,32.5,37.5,Juggernaut,60.0,85.0,77.0,85.0,91.0,66.0
Hulk,Red Hulk,90.4,0.0,9.6,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Red Hulk,85.0,100.0,100.0,100.0,100.0,75.0
Beast Boy,Aquaman,0.0,0.0,100.0,Beast Boy,59.29,20.86,22.43,17.14,42.86,35.0,Aquaman,64.09,68.64,48.82,46.55,60.0,72.73
Thor,General Zod,75.0,0.0,25.0,Thor,60.0,100.0,100.0,100.0,100.0,80.0,General Zod,69.17,95.83,90.83,67.5,72.5,82.5
Thor,General Zod,75.0,0.0,25.0,Thor,69.5,95.5,79.75,79.0,90.0,83.25,General Zod,69.17,95.83,90.83,67.5,72.5,82.5
Wonder Woman,Wonder Girl,86.7,3.3,10.0,Wonder Woman,79.5,88.0,76.0,73.75,81.5,87.75,Wonder Girl,66.67,36.67,38.0,35.0,48.33,76.67
Atom,Firestorm,0.0,0.0,100.0,Atom,86.67,26.67,19.0,25.0,50.0,41.67,Firestorm,82.5,70.0,72.5,78.75,86.25,66.25
Bane,Thing,3.1,3.1,93.8,Bane,67.78,26.78,21.33,13.22,22.78,70.0,Thing,63.75,97.5,43.75,85.0,75.0,62.5
Batman,Captain America,61.4,1.1,37.5,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
3-D Man,Two-Face,33.3,33.3,33.3,3-D Man,55.0,9.0,9.0,9.0,60.0,30.0,Two-Face,60.0,7.0,12.25,8.75,8.75,39.75
Spider-Man,Ego,0.0,0.0,100.0,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26,Ego,92.5,100.0,87.5,75.0,90.0,50.0
Batman,Loki,15.2,0.0,84.8,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Loki,88.12,71.88,71.25,71.88,87.5,82.5
Green Arrow,Dagger,0.0,33.3,66.7,Green Arrow,67.5,4.5,14.17,10.67,12.83,73.33,Dagger,60.0,1.0,5.0,10.0,60.0,45.0
Sentry,Absorbing Man,100.0,0.0,0.0,Sentry,83.75,100.0,100.0,100.0,100.0,65.0,Absorbing Man,48.33,75.0,40.67,78.33,73.33,55.0
Green Arrow,Azazel,0.0,0.0,100.0,Green Arrow,67.5,4.5,14.17,10.67,12.83,73.33,Azazel,57.5,14.5,24.5,32.5,45.0,80.0
Electro,Tigra,25.0,25.0,50.0,Electro,56.0,15.4,30.2,15.6,44.0,32.0,Tigra,60.0,25.0,25.0,15.0,30.0,60.0
Hulk,She-Hulk,86.4,0.0,13.6,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,She-Hulk,65.0,76.67,56.67,75.0,71.67,71.67
Deathstroke,Black Widow,84.6,7.7,7.7,Deathstroke,73.46,20.69,27.08,21.15,38.08,96.54,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44
Sentry,Silver Surfer,28.1,3.0,68.9,Sentry,83.75,100.0,100.0,100.0,100.0,65.0,Silver Surfer,89.0,89.5,100.0,87.0,95.5,70.0
