Names,Intelligence,Strength,Speed,Durability,Power,Combat
Aresia,65.0,30.0,25.0,25.0,35.0,95.0
Arion,87.5,50.5,53.5,67.5,90.0,60.0
Arkillo,55.0,100.0,100.0,100.0,100.0,60.0
Arnold Flass,45.0,1.0,1.0,5.0,0.0,30.0
Arsenal,85.0,1.0,10.0,8.0,17.0,85.0
Artemis,70.0,25.5,15.5,30.0,42.5,90.0
"Arthur Curry, Jr.",14.0,1.0,30.0,60.0,35.0,50.0
Asami Koizumi,55.0,25.0,10.0,10.0,55.0,30.0
Asmodel,100.0,100.0,100.0,100.0,100.0,100.0
Astra,60.0,100.0,100.0,90.0,90.0,75.0
Atlantiades,95.0,100.0,85.0,70.0,90.0,80.0
Atlas,60.0,100.0,50.0,100.0,100.0,75.0
Atom,86.67,26.67,19.0,25.0,50.0,41.67
Atom Smasher,60.0,75.0,25.0,55.0,60.0,45.0
Atomic Skull,60.0,75.0,25.0,35.0,60.0,70.0
Atrocitus,90.0,100.0,100.0,100.0,100.0,70.0
Ava Sharpe,70.0,6.0,7.0,10.0,10.0,85.0
Avatar Of The White,65.0,100.0,25.0,60.0,75.0,65.0
Aya,90.0,55.0,25.0,70.0,100.0,45.0
Azrael,75.0,20.75,37.5,20.25,33.75,83.75
Bad Samaritan,100.0,100.0,100.0,100.0,100.0,100.0
Bane,67.78,26.78,21.33,13.22,22.78,70.0
Bane-mite,40.0,75.0,25.0,85.0,80.0,90.0
Barbara Kean,65.0,1.0,1.0,8.0,10.0,50.0
Barbatos,100.0,100.0,100.0,100.0,100.0,70.0
Basanos,100.0,100.0,100.0,100.0,100.0,100.0
Basqat,75.0,100.0,100.0,90.0,80.0,50.0
Bat Mite,100.0,100.0,100.0,100.0,100.0,100.0
Bat-Mite,50.0,100.0,100.0,100.0,100.0,32.5
Bat-Prince,90.0,100.0,100.0,100.0,80.0,90.0
Batcow,40.0,25.0,12.0,8.0,10.0,10.0
Batgirl,77.22,15.11,21.56,20.33,24.22,75.0
Batgirl III,70.0,5.0,25.0,10.0,15.0,90.0
Batgirl IV,70.0,1.0,17.0,10.0,12.0,100.0
Batgirl VI,75.0,1.0,11.0,10.0,10.0,85.0
Batgod,100.0,55.0,100.0,100.0,90.0,80.0
Bathound,55.0,1.0,20.0,5.0,5.0,9.0
Batman,82.33,17.62,21.84,18.4,24.6,92.56
Batman II,80.0,8.0,20.0,15.0,20.0,90.0
Batman The Silenced,90.0,25.0,25.0,20.0,25.0,100.0
Batman Who Frags,90.0,100.0,90.0,100.0,85.0,100.0
Batwing,80.0,8.0,17.0,15.0,20.0,80.0
Batwoman,72.5,3.0,8.5,12.5,15.0,77.5
Batwoman V,80.0,1.0,18.0,12.0,17.0,85.0
Batzarro,20.0,1.0,6.0,10.0,30.0,20.0
Beast Boy,59.29,20.86,22.43,17.14,42.86,35.0
Behrad Tarazi,65.0,1.0,7.0,10.0,25.0,25.0
Bekka,70.0,50.0,50.0,40.0,50.0,100.0
Beppo,50.0,25.0,5.0,35.0,60.0,50.0
Big Barda,72.5,87.5,65.0,75.0,67.5,100.0
Bigby Wolf,60.0,25.0,25.0,20.0,35.0,50.0
Bizarra,30.0,100.0,80.0,75.0,40.0,30.0
Bizarro,35.0,100.0,75.0,83.33,75.0,33.33
Black Adam,85.0,91.0,96.0,80.0,88.0,90.0
Black Alice,65.0,90.0,85.0,80.0,100.0,50.0
Black Beetle,65.0,30.0,25.0,45.0,80.0,70.0
Black Canary,65.0,4.0,11.12,11.62,33.12,80.0
Black Canary II,60.0,1.0,6.0,10.0,30.0,70.0
Black Flash,50.0,30.0,100.0,70.0,100.0,50.0
Black Hand,75.0,100.0,100.0,100.0,100.0,60.0
Black Lantern,87.27,85.45,96.36,95.0,98.18,81.36
Black Lightning,67.5,15.0,15.0,20.0,52.5,67.5
Black Manta,67.0,23.6,23.4,28.0,33.0,71.0
Black Mask,66.67,9.0,13.0,10.33,11.67,41.67
Black Mass,0.0,0.0,0.0,0.0,0.0,0.0
Black Orchid,100.0,100.0,100.0,100.0,100.0,100.0
Black Racer,76.67,96.67,100.0,100.0,100.0,66.67
Black Spider,65.0,6.0,25.0,10.0,12.0,55.0
Blackfire,75.0,80.0,90.0,65.0,70.0,70.0
Blackout,65.0,25.0,6.0,15.0,35.0,45.0
Blight,75.0,1.0,11.0,35.0,40.0,50.0
Bloodsport,67.5,1.0,16.5,20.0,20.0,92.5
Blue Beetle,68.75,32.5,50.0,43.75,62.5,46.25
Blue Beetle II,95.0,6.0,14.0,15.0,20.0,70.0
Blue Devil,65.0,50.0,5.0,40.0,65.0,55.0
Blue Lantern,78.33,100.0,100.0,100.0,100.0,73.33
Bob Rickman,85.0,1.0,1.0,5.0,15.0,15.0
Bonk,40.0,25.0,1.0,10.0,10.0,10.0
Booster Gold,73.33,41.67,60.0,55.0,65.0,51.67
Brain,100.0,0.0,0.0,0.0,100.0,0.0
Brainiac,96.25,96.25,80.88,68.75,85.62,59.38
Brainiac 5,97.5,32.5,37.5,32.5,57.5,45.0
Brimstone,100.0,25.0,30.0,12.0,90.0,100.0
Bronze Tiger,65.0,10.0,10.0,12.0,15.0,100.0
Brother Blood,81.67,56.0,45.0,43.33,41.67,80.0
Brother Power,70.0,45.0,10.0,30.0,55.0,25.0
Brutaal,80.0,100.0,100.0,90.0,100.0,80.0
Buffy Sanders,55.0,20.0,15.0,15.0,45.0,20.0
Bumblebee,68.75,19.0,23.0,21.0,33.75,32.5
Bunker,55.0,25.0,5.0,15.0,50.0,45.0
Butch Gilzean,60.0,8.0,1.0,15.0,15.0,50.0
Cal Belloc,65.0,75.0,90.0,100.0,80.0,70.0
Canary,45.0,11.0,6.0,5.0,10.0,80.0
Captain Adam,100.0,100.0,100.0,100.0,100.0,100.0
Captain Atom,83.33,100.0,96.67,100.0,100.0,81.67
Captain Boomerang,55.0,8.0,20.25,10.25,11.25,46.25
Captain Cold,76.67,9.0,13.33,11.67,15.0,43.33
Captain Luthor,65.0,75.0,55.0,35.0,60.0,65.0
Captain Marvel,72.5,77.5,90.0,37.5,72.5,35.0
Cassandra Cain,45.0,1.0,1.0,1.0,1.0,30.0
Cassidy,60.0,25.0,16.0,10.0,35.0,50.0
Cat Grant,70.0,1.0,5.0,5.0,0.0,15.0
Catman,70.0,13.0,20.0,15.0,25.0,90.0
Catwoman,58.75,4.12,10.62,9.56,14.19,59.69
Cestis,100.0,100.0,100.0,100.0,100.0,100.0
Cheetah,65.0,55.0,46.0,32.5,51.25,72.5
Cheshire,62.5,1.0,6.5,6.0,12.5,90.0
Child,70.0,20.0,50.0,60.0,85.0,35.0
Chloe Decker,60.0,100.0,6.0,20.0,60.0,55.0
Chloe Sullivan,80.0,5.0,7.0,10.0,10.0,75.0
Choronzon,60.0,25.0,25.0,50.0,80.0,50.0
Chrissy Parker,65.0,5.0,5.0,8.0,10.0,5.0
Christopher Kent,85.0,100.0,100.0,95.0,90.0,90.0
Chronicler,100.0,100.0,100.0,100.0,100.0,100.0
Chuckco,40.0,20.0,5.0,30.0,15.0,20.0
Circe,83.33,55.0,76.67,80.0,91.67,61.67
Citizen Steel,60.0,75.0,25.0,60.0,60.0,50.0
Clark Dreiberg,100.0,100.0,100.0,100.0,100.0,20.0
Clayface,57.5,25.0,30.5,18.25,40.0,34.75
Commander Steel,60.0,45.0,10.0,40.0,45.0,50.0
Commissioner Gordon,60.0,5.0,5.0,50.0,5.0,35.0
Composite Superman,95.0,100.0,100.0,100.0,100.0,100.0
Condiment King,85.0,1.0,6.0,6.0,10.0,10.0
Constantine,75.0,5.0,11.0,20.0,40.0,70.0
Copperhead,65.0,5.0,32.5,15.0,15.0,62.5
Cosmic Armor Superman,100.0,100.0,100.0,100.0,100.0,95.0
Cosmic Boy,62.5,7.0,16.5,12.5,47.5,35.0
Cosmic Superman,95.0,100.0,100.0,100.0,100.0,90.0
Count Vertigo,65.0,1.0,17.0,10.0,30.0,50.0
Crisis,85.0,80.0,30.0,70.0,100.0,60.0
Cristopher Rudd,80.0,100.0,100.0,100.0,100.0,95.0
Crush,45.0,85.0,50.0,75.0,50.0,60.0
Cupid,60.0,1.0,6.0,5.0,10.0,50.0
Cyborg,73.89,55.0,47.89,41.11,58.89,42.78
Cyborg Superman,85.0,100.0,92.5,87.5,82.5,65.0
Cyclone,70.0,75.0,50.0,40.0,40.0,60.0
Cythonna,80.0,100.0,100.0,100.0,100.0,75.0
Damage,70.0,100.0,80.0,100.0,85.0,90.0
Dark Arrow,25.0,1.0,1.0,9.0,0.0,60.0
Dark Kahn,85.0,100.0,100.0,100.0,100.0,100.0
Dark Presence,100.0,100.0,100.0,100.0,100.0,100.0
Dark Robin,45.0,10.0,5.0,15.0,25.0,85.0
Dark Supergirl,75.0,100.0,100.0,100.0,100.0,70.0
Darkfather,95.0,100.0,100.0,100.0,100.0,80.0
Darkseid,98.1,99.76,92.38,91.43,95.48,97.14
David Cain,65.0,5.0,8.0,10.0,15.0,95.0
Dawnbreaker,90.0,100.0,100.0,100.0,100.0,100.0
Deadman,65.0,10.33,46.67,66.67,53.33,45.0
Deadshot,58.57,5.14,16.14,9.29,13.86,65.0
Death,85.0,100.0,100.0,100.0,100.0,70.0
Death Kraken,40.0,100.0,100.0,75.0,95.0,85.0
Death Of The Endless,100.0,100.0,100.0,100.0,100.0,30.0
Deathstroke,73.46,20.69,27.08,21.15,38.08,96.54
Decreator,100.0,100.0,100.0,100.0,100.0,100.0
Deep Blue,45.0,25.0,30.0,35.0,80.0,20.0
Delirium Of The Endless,100.0,100.0,100.0,100.0,100.0,100.0
Demeter,90.0,55.0,50.0,40.0,60.0,40.0
Desaad,85.0,52.5,50.0,65.0,67.5,52.5
Desire Of The Endless,100.0,100.0,100.0,100.0,100.0,100.0
Desirée Atkins,85.0,5.0,5.0,8.0,10.0,15.0
Despair Of The Endless,100.0,100.0,100.0,100.0,100.0,100.0
Despero,78.33,70.0,60.33,75.0,86.67,73.33
Destiny Of The Endless,100.0,100.0,100.0,100.0,100.0,100.0
Destruction Of The Endless,100.0,100.0,100.0,100.0,100.0,100.0
Detective Chimp,75.0,8.0,13.0,20.0,30.0,10.0
Detective Chloe Decker,55.0,1.0,5.0,6.0,5.0,45.0
Detective Espinosa,50.0,5.0,5.0,5.0,10.0,30.0
Devastator,90.0,100.0,100.0,100.0,100.0,75.0
Dex-Starr,35.0,70.0,80.0,60.0,67.5,17.0
Disciple,65.0,25.0,25.0,35.0,100.0,60.0
Djinn,90.0,1.0,53.0,55.0,100.0,60.0
Doc Magnus,85.0,1.0,5.0,5.0,5.0,25.0
Doctor Destiny,85.0,25.0,50.0,50.0,85.0,40.0
Doctor Fate,87.5,95.62,98.12,93.75,100.0,70.62
Doctor Light,75.0,3.0,50.0,32.5,47.5,25.0
Doctor Mid-Nite,85.0,1.0,5.0,10.0,20.0,75.0
Doctor Multiverse,100.0,100.0,100.0,100.0,100.0,90.0
Doctor Polaris,65.0,100.0,100.0,75.0,75.0,50.0
Doctor Psycho,85.0,1.0,10.0,10.0,40.0,15.0
Doctor Sivana,70.0,95.0,60.0,50.0,70.0,55.0
Dolphin,60.0,15.0,25.0,25.0,30.0,50.0
Donna Troy,70.0,60.0,75.0,75.0,70.0,85.0
Doomsday,41.67,100.0,75.83,85.0,91.67,49.17
Dove,62.5,8.0,8.0,10.0,17.5,55.0
Dove II,65.0,15.0,17.0,20.0,25.0,60.0
Dr Manhattan,98.75,100.0,100.0,100.0,100.0,71.25
Dr. Allison Mann,70.0,1.0,6.0,10.0,0.0,25.0
Dr. Linda,70.0,1.0,6.0,10.0,5.0,15.0
Dr. Swann,90.0,1.0,1.0,5.0,5.0,0.0
Dream Of The Endless,100.0,100.0,100.0,100.0,100.0,100.0
Ecco,65.0,1.0,9.0,10.0,15.0,80.0
Eclipso,96.67,100.0,100.0,100.0,100.0,93.33
El Diablo,57.5,25.0,15.5,22.5,45.0,52.5
Elaine Belloc,100.0,100.0,100.0,100.0,100.0,100.0
Elasti-Girl,80.0,100.0,100.0,100.0,100.0,70.0
Ella Lopez,75.0,1.0,6.0,8.0,5.0,15.0
Elongated Man,85.0,1.0,11.0,35.0,25.0,40.0
Ember,60.0,25.0,45.0,40.0,55.0,35.0
Emil Hamilton,80.0,1.0,5.0,5.0,10.0,15.0
Emilia Harcourt,65.0,1.0,1.0,8.0,10.0,70.0
Emperor Joker,100.0,100.0,100.0,100.0,100.0,50.0
Empty Hand,100.0,100.0,100.0,100.0,100.0,100.0
Enchantress,75.0,47.5,22.5,26.5,72.5,50.0
Engineer,85.0,30.0,25.0,30.0,55.0,65.0
Enlil,100.0,100.0,100.0,100.0,100.0,100.0
Envy,65.0,65.0,65.0,40.0,60.0,65.0
Eradicator,76.67,100.0,90.0,73.33,81.67,65.0
Eric Summers,65.0,95.0,75.0,65.0,70.0,30.0
Eternity Girl,80.0,62.5,60.0,65.0,75.0,82.5
Etrigan,66.67,75.0,58.33,76.67,73.33,70.0
Eve,75.0,1.0,5.0,7.0,0.0,85.0
Extant,100.0,100.0,100.0,100.0,100.0,100.0
Fairchild,70.0,70.0,17.0,40.0,60.0,80.0
Faora,70.0,98.33,81.67,66.67,78.33,76.67
Farmer Brown,75.0,5.0,5.0,50.0,10.0,30.0
Father Kinley,65.0,1.0,6.0,8.0,10.0,5.0
Father Time,100.0,100.0,100.0,100.0,100.0,100.0
Felicity Smoak,80.0,1.0,1.0,5.0,6.0,7.0
Felix Faust,80.0,35.33,29.67,41.67,83.33,38.33
Fenris,100.0,100.0,100.0,100.0,100.0,95.0
Fernus,90.0,100.0,100.0,100.0,100.0,85.0
Fifty Sue,65.0,75.0,80.0,60.0,100.0,70.0
Fire,57.5,10.0,27.5,12.5,50.0,40.0
Firefly,60.0,9.0,27.0,13.0,25.0,23.0
Firestorm,82.5,70.0,72.5,78.75,86.25,66.25
First Born,65.0,100.0,90.0,95.0,100.0,95.0
Flamebird,70.0,95.0,80.0,70.0,80.0,70.0
Flash,74.52,24.33,98.1,47.24,83.33,57.1
Flash Dr Manhattan,100.0,100.0,100.0,100.0,100.0,100.0
Flaw,40.0,60.0,20.0,55.0,60.0,30.0
Forager,55.0,20.0,20.0,15.0,35.0,30.0
Frankenstein,55.0,50.0,100.0,75.0,40.0,70.0
Freestyle,60.0,1.0,6.0,10.0,35.0,50.0
Frost,85.0,1.0,5.0,15.0,60.0,40.0
Fury,75.0,100.0,80.0,85.0,85.0,85.0
Future Flash,90.0,25.0,100.0,85.0,100.0,90.0
G.I. Zombie,25.0,25.0,11.0,50.0,65.0,75.0
Gabriel Hornblower,100.0,100.0,100.0,100.0,100.0,100.0
Galactic Golem,50.0,100.0,87.5,100.0,92.5,65.0
Galatea,65.0,95.0,80.0,85.0,100.0,55.0
Galius Zed,70.0,60.0,65.0,50.0,80.0,15.0
General Zod,69.17,95.83,90.83,67.5,72.5,82.5
Geo-Force,65.0,50.0,35.0,35.0,70.0,42.5
Giganta,62.5,62.5,22.5,42.5,37.5,27.5
Gilgamesh,100.0,100.0,100.0,100.0,100.0,100.0
Gilotina,70.0,50.0,40.0,50.0,40.0,100.0
Gizmo,85.0,5.0,15.0,10.0,20.0,45.0
Glory Of The First Circle,100.0,100.0,100.0,100.0,100.0,100.0
Gluttony,65.0,65.0,65.0,40.0,60.0,65.0
God,100.0,100.0,100.0,100.0,100.0,100.0
God Of Gods Shazam,95.0,100.0,100.0,100.0,100.0,75.0
Goddess Of All Creation,100.0,100.0,100.0,100.0,100.0,40.0
Goddess Of War,90.0,100.0,100.0,100.0,100.0,100.0
Godiva,55.0,25.0,5.0,10.0,50.0,40.0
Godspeed,75.0,40.0,100.0,40.0,100.0,60.0
Gold,75.0,30.0,5.0,35.0,55.0,30.0
Gold Lantern,85.0,90.0,95.0,85.0,85.0,60.0
Goliath,40.0,30.0,50.0,40.0,40.0,100.0
Gordon Godfrey,85.0,15.0,12.5,22.5,35.0,50.0
Gorilla Grodd,73.75,22.25,19.75,22.5,41.25,42.5
Grail,92.5,100.0,100.0,100.0,100.0,100.0
Granny Goodness,80.0,75.0,55.0,75.0,62.5,67.5
Great Evil Beast,100.0,100.0,100.0,100.0,100.0,100.0
Green Arrow,67.5,4.5,14.17,10.67,12.83,73.33
Green Beetle,65.0,25.0,25.0,35.0,65.0,35.0
Green Canary,70.0,100.0,90.0,70.0,100.0,90.0
Green Lantern,71.58,85.13,87.76,76.58,86.18,62.37
Green Lantern Batman,95.0,100.0,100.0,100.0,100.0,100.0
Green/Blue Lantern,75.0,100.0,100.0,100.0,100.0,70.0
Greenzarro,35.0,85.0,90.0,90.0,55.0,10.0
Grifter,75.0,5.0,17.0,17.0,70.0,90.0
H'EL,90.0,100.0,100.0,100.0,100.0,75.0
Hades,90.0,100.0,95.0,100.0,100.0,80.0
Halo,60.0,1.0,30.0,35.0,80.0,50.0
Harley Quinn,66.36,6.64,14.91,11.36,15.64,70.91
Harvey Bullock,55.0,1.0,1.0,5.0,5.0,35.0
Hawk,62.5,13.0,15.5,20.0,22.5,80.0
Hawkgirl,72.5,35.0,40.0,32.5,57.5,72.5
Hawkman,70.0,46.43,32.29,37.86,52.14,60.0
Hawkwoman,75.0,35.0,27.5,30.0,50.0,75.0
Heat Wave,55.0,3.0,6.0,6.0,9.5,35.0
Hecate,100.0,100.0,100.0,100.0,100.0,60.0
Hector Hammond,85.0,1.0,20.0,10.0,60.0,20.0
Helen Bryce,85.0,1.0,5.0,5.0,5.0,15.0
Hellbat,90.0,100.0,100.0,100.0,100.0,100.0
Helspont,90.0,100.0,30.0,100.0,80.0,90.0
Hera,95.0,100.0,95.0,95.0,100.0,65.0
Herald,60.0,1.0,50.0,10.0,60.0,60.0
Hercules,70.0,100.0,75.0,100.0,100.0,85.0
Hero Brown,60.0,1.0,6.0,10.0,0.0,20.0
Hexagon,75.0,100.0,100.0,100.0,100.0,100.0
Highfather,98.75,100.0,100.0,100.0,100.0,95.0
Hot Spot,45.0,10.0,30.0,25.0,30.0,60.0
Hotstreak,50.0,20.0,25.0,10.0,45.0,30.0
Hourman,75.0,25.0,16.0,30.0,55.0,40.0
Hugo Strange,85.0,6.33,25.33,10.67,9.0,45.0
Human Bomb,75.0,25.0,11.0,25.0,45.0,65.0
Hunter Prince,40.0,100.0,20.0,50.0,20.0,100.0
Huntress,62.0,1.0,11.8,7.0,9.6,63.0
Hush,72.5,9.5,24.5,11.5,14.0,46.5
Hyena,0.0,1.0,25.0,25.0,25.0,35.0
"I, Vampire",70.0,30.0,50.0,30.0,70.0,75.0
Ibriel,100.0,100.0,100.0,100.0,100.0,100.0
Ice,60.0,1.0,20.0,10.0,50.0,45.0
Ichtulhu,100.0,100.0,100.0,100.0,100.0,100.0
Icicle,80.0,10.0,10.0,20.0,25.0,45.0
Icon,80.0,100.0,100.0,90.0,85.0,90.0
Immortal Wonder Woman,100.0,100.0,100.0,100.0,100.0,50.0
Imperiex,95.0,100.0,100.0,100.0,100.0,50.0
Indigo,77.5,62.5,62.5,65.0,75.0,55.0
Indigo Tribe Warrior,50.0,30.0,50.0,50.0,60.0,50.0
Infinity Man,100.0,100.0,100.0,100.0,100.0,100.0
Inque,50.0,15.0,17.0,20.0,30.0,40.0
Insider,90.0,25.0,40.0,30.0,40.0,100.0
Ion,100.0,100.0,100.0,100.0,100.0,65.0
Iris West,70.0,1.0,5.0,5.0,5.0,30.0
Iron,60.0,40.0,5.0,35.0,55.0,35.0
Isis,67.5,87.5,65.0,60.0,77.5,60.0
Jack Hawksmoor,65.0,75.0,25.0,40.0,100.0,80.0
Jack Horner,70.0,25.0,25.0,20.0,30.0,70.0
Jade,65.0,50.0,95.0,70.0,80.0,45.0
James Gordon,68.33,2.33,3.0,7.67,7.67,48.33
Jan-Al,85.0,100.0,100.0,80.0,100.0,70.0
Jason,60.0,95.0,80.0,60.0,90.0,100.0
Jason Teague,70.0,1.0,5.0,5.0,5.0,50.0
Jax-Ur,65.0,100.0,100.0,85.0,95.0,85.0
Jayna,75.0,75.0,100.0,70.0,100.0,60.0
Jenny Quantum,70.0,55.0,80.0,100.0,100.0,50.0
Jericho,75.0,8.0,11.0,10.0,30.0,80.0
Jerome Valeska,85.0,5.0,5.0,10.0,35.0,30.0
Jesse Quick,70.0,30.0,75.0,35.0,65.0,50.0
Jill Presto,55.0,1.0,20.0,40.0,80.0,30.0
Jim Gordon,65.0,1.0,1.0,10.0,15.0,65.0
Jinx,60.0,3.0,17.5,10.0,57.5,57.5
Jodi Melville,65.0,5.0,5.0,5.0,15.0,15.0
John Constantine,82.14,20.43,27.29,36.43,77.14,53.57
Joker,77.0,7.93,15.27,10.33,22.33,36.4
Joker Beyond,75.0,5.0,11.0,10.0,20.0,70.0
Jonah Hex,65.0,1.0,8.0,10.0,10.0,60.0
Jor-El,80.0,1.0,6.0,10.0,10.0,80.0
Jordan Kent,50.0,25.0,25.0,20.0,15.0,5.0
Judomaster,60.0,1.0,6.0,15.0,10.0,100.0
Julian Luthor,85.0,1.0,5.0,5.0,5.0,5.0
KGBeast,55.0,16.5,11.5,12.5,15.0,75.0
Kalibak,60.0,100.0,80.0,100.0,80.0,80.0
Kane Milohai,95.0,100.0,100.0,100.0,100.0,100.0
Karate Kid,75.0,25.0,25.0,25.0,30.0,100.0
Karathen,75.0,95.0,25.0,50.0,60.0,30.0
Karma,65.0,20.0,17.0,15.0,30.0,75.0
Karnell,90.0,95.0,80.0,55.0,70.0,90.0
Katana,60.0,1.0,15.67,9.67,11.67,86.67
Key,0.0,0.0,0.0,0.0,0.0,0.0
Khalid Nassour,75.0,1.0,1.0,7.0,55.0,10.0
Kid Flash,67.14,11.57,85.0,30.71,81.43,48.57
Killer Croc,47.0,28.0,15.4,15.8,28.0,39.0
Killer Frost,67.5,9.5,25.5,14.0,32.0,38.5
Killer Moth,45.0,25.5,37.5,26.0,27.5,30.0
Kilowog,75.0,87.5,90.0,72.5,90.0,62.5
King Nereus,70.0,45.0,30.0,25.0,45.0,75.0
King Shark,50.0,40.0,20.0,41.67,43.33,40.0
Kismet,100.0,100.0,100.0,100.0,100.0,100.0
Klarion,65.0,15.0,75.0,60.0,90.0,30.0
Knight-Wing,75.0,75.0,50.0,45.0,70.0,70.0
Knockout,70.0,75.0,80.0,70.0,65.0,100.0
Krypto,45.0,75.0,87.5,67.5,67.5,25.0
Kryptothrax,60.0,100.0,75.0,75.0,85.0,65.0
Kull,85.0,100.0,100.0,100.0,100.0,100.0
Kyle Tippet,90.0,1.0,1.0,5.0,15.0,20.0
Lady Blackhawk,65.0,5.0,13.0,10.0,15.0,70.0
Lady Shazam,95.0,100.0,100.0,100.0,100.0,70.0
Lady Shiva,66.67,9.0,19.0,9.67,14.0,100.0
Lagoon Boy,55.0,25.0,20.0,20.0,50.0,50.0
Lantern Bleez,60.0,95.0,100.0,90.0,100.0,60.0
Lar Gand,75.0,95.0,80.0,75.0,75.0,50.0
Lar-On,65.0,100.0,90.0,90.0,100.0,70.0
Larfleeze,75.0,100.0,100.0,100.0,100.0,50.0
Lashina,65.0,50.0,25.0,45.0,55.0,100.0
Lead,40.0,50.0,5.0,45.0,55.0,25.0
Lena Luthor,75.0,1.0,5.0,5.0,10.0,15.0
Lex Luthor,90.0,51.64,53.45,45.27,42.36,43.73
Life Entity,100.0,100.0,100.0,100.0,100.0,50.0
Lightning Lad,60.0,5.0,10.0,10.0,55.0,45.0
Lightray,90.0,75.0,100.0,85.0,100.0,70.0
Limbo Lantern,75.0,100.0,100.0,100.0,100.0,80.0
Linda Lake,85.0,1.0,25.0,15.0,50.0,15.0
Livewire,52.5,25.0,55.0,30.0,57.5,25.0
Lobo,93.33,100.0,93.33,95.0,85.0,98.33
Lois Lane,63.75,1.0,4.75,5.25,4.0,27.5
Looker,60.0,25.0,25.0,20.0,50.0,60.0
Lucas Luthor,85.0,5.0,5.0,8.0,5.0,35.0
Lucifer Morningstar,100.0,68.6,71.2,74.0,96.0,100.0
Lucy Lane,80.0,1.0,5.0,5.0,5.0,30.0
Lust,65.0,65.0,65.0,40.0,60.0,65.0
Mad Harriet,50.0,50.0,30.0,40.0,50.0,100.0
Mad Hatter,81.67,4.33,1.0,11.0,18.0,16.0
Madam Rouge,60.0,25.0,25.0,45.0,70.0,65.0
Madame Rouge,75.0,25.0,65.0,50.0,30.0,80.0
Madame Xanadu,77.5,32.5,95.0,85.0,97.5,62.5
Magenta,55.0,13.0,6.0,10.0,20.0,10.0
Maggie Sawyer,70.0,1.0,1.0,5.0,5.0,20.0
Major Force,50.0,35.0,35.0,55.0,75.0,60.0
Mammoth,35.0,55.0,7.0,35.0,50.0,20.0
Man-Bat,65.0,25.0,25.0,12.67,21.67,8.33
Manchester Black,65.0,75.0,25.0,100.0,70.0,60.0
Mandrakk,100.0,100.0,100.0,100.0,100.0,95.0
Manitou Raven,75.0,1.0,35.0,35.0,80.0,50.0
Marine Marauder,0.0,0.0,0.0,0.0,0.0,0.0
Marionette,65.0,6.0,7.0,8.0,10.0,70.0
Martian Manhunter,73.5,90.0,65.5,52.5,78.5,63.0
